age_min,age_max,weight_min_kg,weight_max_kg,height_min_cm,height_max_cm,size
18,64,90,119,240,249,XS
18,64,90,119,250,250,XXS
18,64,120,149,100,109,XXL
18,64,120,149,110,119,XXL
18,64,120,149,120,129,XXL
18,64,120,149,130,139,XXL
18,64,120,149,140,149,XXL
18,64,120,149,150,159,XXL
18,64,120,149,160,169,XXL
18,64,120,149,170,179,XXL
18,64,120,149,180,189,XXL
18,64,120,149,190,199,XL
18,64,120,149,200,209,XL
18,64,120,149,210,219,L
18,64,120,149,220,229,M
18,64,120,149,230,239,M
18,64,120,149,240,249,S
18,64,120,149,250,250,S
18,64,150,179,100,109,XXL
18,64,150,179,110,119,XXL
18,64,150,179,120,129,XXL
18,64,150,179,130,139,XXL
18,64,150,179,140,149,XXL
18,64,150,179,150,159,XXL
18,64,150,179,160,169,XXL
18,64,150,179,170,179,XXL
18,64,150,179,180,189,XXL
18,64,150,179,190,199,XXL
18,64,150,179,200,209,XXL
18,64,150,179,210,219,XL
18,64,150,179,220,229,XL
18,64,150,179,230,239,L
18,64,150,179,240,249,L
18,64,150,179,250,250,M
18,64,180,209,100,109,XXL
18,64,180,209,110,119,XXL
18,64,180,209,120,129,XXL
18,64,180,209,130,139,XXL
18,64,180,209,140,149,XXL
18,64,180,209,150,159,XXL
18,64,180,209,160,169,XXL
18,64,180,209,170,179,XXL
18,64,180,209,180,189,XXL
18,64,180,209,190,199,XXL
18,64,180,209,200,209,XXL
18,64,180,209,210,219,XXL
18,64,180,209,220,229,XXL
18,64,180,209,230,239,XL
18,64,180,209,240,249,XL
18,64,180,209,250,250,XL
18,64,210,239,100,109,XXL
18,64,210,239,110,119,XXL
18,64,210,239,120,129,XXL
18,64,210,239,130,139,XXL
18,64,210,239,140,149,XXL
18,64,210,239,150,159,XXL
18,64,210,239,160,169,XXL
18,64,210,239,170,179,XXL
18,64,210,239,180,189,XXL
18,64,210,239,190,199,XXL
18,64,210,239,200,209,XXL
18,64,210,239,210,219,XXL
18,64,210,239,220,229,XXL
18,64,210,239,230,239,XXL
18,64,210,239,240,249,XXL
18,64,210,239,250,250,XL
18,64,240,269,100,109,XXL
18,64,240,269,110,119,XXL
18,64,240,269,120,129,XXL
18,64,240,269,130,139,XXL
18,64,240,269,140,149,XXL
18,64,240,269,150,159,XXL
18,64,240,269,160,169,XXL
18,64,240,269,170,179,XXL
18,64,240,269,180,189,XXL
18,64,240,269,190,199,XXL
18,64,240,269,200,209,XXL
18,64,240,269,210,219,XXL
18,64,240,269,220,229,XXL
18,64,240,269,230,239,XXL
18,64,240,269,240,249,XXL
18,64,240,269,250,250,XXL
18,64,270,300,100,109,XXL
18,64,270,300,110,119,XXL
18,64,270,300,120,129,XXL
18,64,270,300,130,139,XXL
18,64,270,300,140,149,XXL
18,64,270,300,150,159,XXL
18,64,270,300,160,169,XXL
18,64,270,300,170,179,XXL
18,64,270,300,180,189,XXL
18,64,270,300,190,199,XXL
18,64,270,300,200,209,XXL
18,64,270,300,210,219,XXL
18,64,270,300,220,229,XXL
18,64,270,300,230,239,XXL
18,64,270,300,240,249,XXL
18,64,270,300,250,250,XXL
65,120,30,59,100,109,XXL
65,120,30,59,110,119,XL
65,120,30,59,120,129,L
65,120,30,59,130,139,M
65,120,30,59,140,149,S
65,120,30,59,150,159,XS
65,120,30,59,160,169,XXS
65,120,30,59,170,179,XXS
65,120,30,59,180,189,XXS
65,120,30,59,190,199,XXS
65,120,30,59,200,209,XXS
65,120,30,59,210,219,XXS
65,120,30,59,220,229,XXS
65,120,30,59,230,239,XXS
65,120,30,59,240,249,XXS
65,120,30,59,250,250,XXS
65,120,60,89,100,109,XXL
65,120,60,89,110,119,XXL
65,120,60,89,120,129,XXL
65,120,60,89,130,139,XXL
65,120,60,89,140,149,XL
65,120,60,89,150,159,XL
65,120,60,89,160,169,L
65,120,60,89,170,179,M
65,120,60,89,180,189,S
65,120,60,89,190,199,S
65,120,60,89,200,209,XS
65,120,60,89,210,219,XXS
65,120,60,89,220,229,XXS
65,120,60,89,230,239,XXS
65,120,60,89,240,249,XXS
65,120,60,89,250,250,XXS
65,120,90,119,100,109,XXL
65,120,90,119,110,119,XXL
65,120,90,119,120,129,XXL
65,120,90,119,130,139,XXL
65,120,90,119,140,149,XXL
65,120,90,119,150,159,XXL
65,120,90,119,160,169,XXL
65,120,90,119,170,179,XL
65,120,90,119,180,189,XL
65,120,90,119,190,199,L
65,120,90,119,200,209,M
65,120,90,119,210,219,S
65,120,90,119,220,229,S
65,120,90,119,230,239,XS
65,120,90,119,240,249,XS
65,120,90,119,250,250,XXS
65,120,120,149,100,109,XXL
65,120,120,149,110,119,XXL
65,120,120,149,120,129,XXL
65,120,120,149,130,139,XXL
65,120,120,149,140,149,XXL
65,120,120,149,150,159,XXL
65,120,120,149,160,169,XXL
65,120,120,149,170,179,XXL
65,120,120,149,180,189,XXL
65,120,120,149,190,199,XL
65,120,120,149,200,209,XL
65,120,120,149,210,219,L
65,120,120,149,220,229,M
65,120,120,149,230,239,M
65,120,120,149,240,249,S
65,120,120,149,250,250,S
65,120,150,179,100,109,XXL
65,120,150,179,110,119,XXL
65,120,150,179,120,129,XXL
65,120,150,179,130,139,XXL
65,120,150,179,140,149,XXL
65,120,150,179,150,159,XXL
65,120,150,179,160,169,XXL
65,120,150,179,170,179,XXL
65,120,150,179,180,189,XXL
65,120,150,179,190,199,XXL
65,120,150,179,200,209,XXL
65,120,150,179,210,219,XL
65,120,150,179,220,229,XL
65,120,150,179,230,239,L
65,120,150,179,240,249,L
65,120,150,179,250,250,M
65,120,180,209,100,109,XXL
65,120,180,209,110,119,XXL
65,120,180,209,120,129,XXL
65,120,180,209,130,139,XXL
65,120,180,209,140,149,XXL
65,120,180,209,150,159,XXL
65,120,180,209,160,169,XXL
65,120,180,209,170,179,XXL
65,120,180,209,180,189,XXL
65,120,180,209,190,199,XXL
65,120,180,209,200,209,XXL
65,120,180,209,210,219,XXL
65,120,180,209,220,229,XXL
65,120,180,209,230,239,XL
65,120,180,209,240,249,XL
65,120,180,209,250,250,XL
65,120,210,239,100,109,XXL
65,120,210,239,110,119,XXL
65,120,210,239,120,129,XXL
65,120,210,239,130,139,XXL
65,120,210,239,140,149,XXL
65,120,210,239,150,159,XXL
65,120,210,239,160,169,XXL
65,120,210,239,170,179,XXL
65,120,210,239,180,189,XXL
65,120,210,239,190,199,XXL
65,120,210,239,200,209,XXL
65,120,210,239,210,219,XXL
65,120,210,239,220,229,XXL
65,120,210,239,230,239,XXL
65,120,210,239,240,249,XXL
65,120,210,239,250,250,XL
65,120,240,269,100,109,XXL
65,120,240,269,110,119,XXL
65,120,240,269,120,129,XXL
65,120,240,269,130,139,XXL
65,120,240,269,140,149,XXL
65,120,240,269,150,159,XXL
65,120,240,269,160,169,XXL
65,120,240,269,170,179,XXL
65,120,240,269,180,189,XXL
65,120,240,269,190,199,XXL
65,120,240,269,200,209,XXL
65,120,240,269,210,219,XXL
65,120,240,269,220,229,XXL
65,120,240,269,230,239,XXL
65,120,240,269,240,249,XXL
65,120,240,269,250,250,XXL
65,120,270,300,100,109,XXL
65,120,270,300,110,119,XXL
65,120,270,300,120,129,XXL
65,120,270,300,130,139,XXL
65,120,270,300,140,149,XXL
65,120,270,300,150,159,XXL
65,120,270,300,160,169,XXL
65,120,270,300,170,179,XXL
65,120,270,300,180,189,XXL
65,120,270,300,190,199,XXL
65,120,270,300,200,209,XXL
65,120,270,300,210,219,XXL
65,120,270,300,220,229,XXL
65,120,270,300,230,239,XXL
65,120,270,300,240,249,XXL
65,120,270,300,250,250,XXL
